scenario,scenario_name,train_cutoff,test_period,n_train,n_test,AUC,F1,timing_MAE
A,Conservative,2006,2006-2009,796,525,0.6443,0.4659,18.48
B,Standard,2010,2010+,1321,679,0.5978,0.4971,1695.22
