epoch,train_loss,val_auc,val_f1,val_acc
1,3.031285135369552,0.8569453174104336,0.7852193995381063,0.355
2,2.3787208230871904,,,
3,1.9842270487233211,,,
4,1.746468933005082,,,
5,1.5549515328909223,0.9028535512256441,0.8114558472553699,0.565
6,1.4335960871294926,,,
7,1.3211272453006946,,,
8,1.2361975327918404,,,
9,1.176271655057606,,,
10,1.1333610399773246,0.9088874921433061,0.8354430379746836,0.6175
11,1.0621693871523206,,,
12,1.0169687443657924,,,
13,0.928894031988947,,,
14,0.8823723714602622,,,
15,0.8225449841273459,0.9229164047768699,0.8463251670378619,0.7
16,0.7710188909580833,,,
17,0.7602600565082148,,,
18,0.7080928996989602,,,
19,0.6747120446280429,,,
20,0.6257240568336687,0.9305845380263984,0.8365384615384616,0.6975
21,0.6349558147944903,,,
22,0.5942448620733461,,,
23,0.5410478185666235,,,
24,0.5637170743001135,,,
25,0.5075818708068446,0.9317913262099308,0.8430913348946136,0.675
26,0.49898051666586024,,,
27,0.47055687520064804,,,
28,0.44292404188921575,,,
29,0.4549391869651644,,,
30,0.4150444692686984,0.9268887492143306,0.8425925925925926,0.6775
31,0.3966543541142815,,,
32,0.39347086140983983,,,
33,0.39342243851799713,,,
34,0.3963055567521798,,,
35,0.36053754154004547,0.9259585166561911,0.8404494382022472,0.6875
36,0.3600277241907622,,,
37,0.3427044306146471,,,
38,0.32589222804496165,,,
39,0.32235507667064667,,,
40,0.33003277213949905,0.9263356379635449,0.8413793103448276,0.7
41,0.39656403896055725,,,
42,0.38858983979413386,,,
43,0.34629803543028076,,,
44,0.2803607461483855,,,
45,0.2349657663389256,0.9173098680075423,0.835214446952596,0.715
46,0.21362756467179247,,,
47,0.16578521422649684,,,
48,0.1241306148861584,,,
49,0.10599592367285177,,,
50,0.0868086250204789,0.893073538654934,0.8425720620842572,0.6975
51,0.04559823635377382,,,
52,-0.001895179089746977,,,
53,-0.05130157462860409,,,
54,-0.09154043621138523,,,
55,-0.1250207282994923,0.8886486486486487,0.8309859154929577,0.69
56,-0.10009914205262535,,,
57,-0.1361257292722401,,,
58,-0.1809975975438168,,,
59,-0.2187523857543343,,,
60,-0.25558273102107804,0.8942803268384663,0.851764705882353,0.705
61,-0.30964311957359314,,,
62,-0.3322643857253225,,,
63,-0.3579861670732498,,,
64,-0.37357610699377564,,,
65,-0.396314799785614,0.8882212445003143,0.8404494382022472,0.6925
66,-0.46367860703091873,,,
67,-0.4712039287153043,,,
68,-0.5359596853193483,,,
69,-0.5517751213751341,,,
70,-0.5659481608553937,0.8783658076681332,0.8392857142857143,0.685
71,-0.6069171138499913,,,
72,-0.5932176168027677,,,
73,-0.6791468607751947,,,
74,-0.6713667833491376,,,
75,-0.686041943336788,0.8873412947831553,0.8351648351648352,0.6675
76,-0.7068509506551843,,,
77,-0.7633757355966067,,,
78,-0.7666452770170412,,,
79,-0.784265504071587,,,
80,-0.7986966747986642,0.8818353236957889,0.8385650224215246,0.66
81,-0.8073651131830717,,,
82,-0.8571053115945113,,,
83,-0.8697425032916822,,,
84,-0.8764134865058096,,,
85,-0.9041379188236437,0.8874921433060967,0.8409090909090909,0.675
86,-0.9122425929496163,,,
87,-0.9244695031329205,,,
88,-0.9494357312980451,,,
89,-0.9480162670737818,,,
90,-0.9658852627402857,0.8864362036455059,0.8409090909090909,0.67
91,-0.9917143849950087,,,
92,-1.0057570259822042,,,
93,-1.0223408435520374,,,
94,-1.0348572778074365,,,
95,-1.0461761073062295,0.8824638592080452,0.8423423423423423,0.665
96,-1.0703166221317493,,,
97,-1.0573211014270782,,,
98,-1.078618459011379,,,
99,-1.0851591919597827,,,
100,-1.0944103206458844,0.8912884978001256,0.8433179723502304,0.6675
101,-1.1012391557818966,,,
102,-1.0999171765227067,,,
103,-1.1118338829592656,,,
104,-1.1278462253118817,,,
105,-1.1370054044221576,0.891011942174733,0.8390022675736961,0.6575
106,-1.1386497804993077,,,
107,-1.1315169193242725,,,
108,-1.1284905530904468,,,
109,-1.1451740453117771,,,
110,-1.1495925517458665,0.8894280326838465,0.8428246013667426,0.67
111,-1.151546791980141,,,
112,-1.1465040257102566,,,
113,-1.1651015642442202,,,
114,-1.1400841505903947,,,
115,-1.1477804811377275,0.8902828409805154,0.8416289592760181,0.6625
116,-1.1726718576330888,,,
117,-1.166502833366394,,,
118,-1.1545851528644562,,,
119,-1.1613399511889408,,,
120,-1.1590059399604797,0.8913639220615964,0.8421052631578947,0.675
121,-1.1344109710894132,,,
122,-1.064101256822285,,,
123,-1.0880116694851925,,,
124,-1.1652008922476518,,,
125,-1.1695679583047565,0.8740666247642993,0.8289473684210527,0.645
126,-1.164593473861092,,,
127,-1.2009413336452686,,,
128,-1.2388874951161837,,,
129,-1.2331819691156085,,,
130,-1.296025116192667,0.8853551225644248,0.8237885462555066,0.64
131,-1.2749509513378143,,,
132,-1.2975983290295852,,,
133,-1.3603517021003522,,,
134,-1.3853699219854254,,,
135,-1.3891927223456533,0.8893274670018856,0.8442437923250564,0.66
136,-1.4146107278372113,,,
137,-1.4348496261395907,,,
138,-1.470829477435664,,,
139,-1.4924652827413458,,,
140,-1.5043406078689976,0.8915901948460088,0.8293736501079914,0.64
141,-1.5415474992049367,,,
142,-1.5679365365128768,,,
143,-1.5671969652175903,,,
144,-1.6148710470450551,,,
145,-1.6294655988090916,0.9000879949717158,0.85,0.66
146,-1.6536822005322105,,,
147,-1.6802233583048771,,,
148,-1.7243000708128278,,,
149,-1.6986837512568425,,,
150,-1.7569628859821118,0.8955625392834695,0.8446389496717724,0.6625
