Year,subtype_group,count,min,max,mean,std,mode
2004,H3N2,180,546,566,565.33,3.02,566
2004,Other,444,540,571,561.62,6.42,568
2005,H1N1,54,542,568,564.13,3.84,565
2005,H3N2,173,540,566,565.5,2.85,566
2005,Other,780,540,576,562.6,6.38,566
2006,H1N1,108,543,566,563.31,4.86,565
2006,H3N2,104,549,566,564.68,4.42,566
2006,Other,1191,540,572,562.44,5.88,564
2007,H1N1,273,540,575,564.07,4.26,565
2007,H3N2,295,540,566,563.76,5.76,566
2007,Other,1322,540,574,562.32,5.71,566
2008,H1N1,294,540,572,563.79,4.38,565
2008,H3N2,258,545,567,563.74,5.24,566
2008,Other,1006,540,572,561.99,6.2,566
2009,H1N1,2207,543,575,565.28,2.7,566
2009,H3N2,365,550,566,565.36,2.66,566
2009,Other,1083,540,568,562.1,5.39,566
2010,H1N1,779,540,575,565.23,3.69,566
2010,H3N2,388,544,566,565.4,2.33,566
2010,Other,959,540,570,562.72,4.76,566
2011,H1N1,575,540,569,563.74,6.99,566
2011,H3N2,494,540,566,564.67,4.13,566
2011,Other,1135,540,568,561.96,4.75,560
2012,H1N1,295,541,566,564.24,5.16,566
2012,H3N2,707,546,566,564.05,4.79,566
2012,Other,926,540,568,561.29,4.72,560
2013,H1N1,503,540,569,563.37,6.23,566
2013,H3N2,518,545,570,565.02,3.64,566
2013,Other,1158,540,568,560.75,5.24,560
2014,H1N1,301,540,569,564.73,4.87,566
2014,H3N2,674,540,566,564.57,4.06,566
2014,Other,1667,540,568,561.14,4.54,560
2015,H1N1,173,543,566,562.27,7.07,566
2015,H3N2,785,544,566,565.78,1.72,566
2015,Other,614,540,570,563.5,5.26,567
2016,H1N1,395,558,566,565.75,1.19,566
2016,H3N2,707,541,566,565.69,2.02,566
2016,Other,173,541,568,563.34,4.07,560
2017,H1N1,54,566,566,566.0,0.0,566
2017,H3N2,1301,541,566,565.59,2.34,566
2017,Other,70,547,569,565.4,2.61,566
2018,H3N2,784,549,566,565.84,1.42,566
2018,Other,27,541,566,565.07,4.81,566
2019,H3N2,653,546,566,565.92,1.11,566
2019,Other,32,566,566,566.0,0.0,566
2020,H3N2,64,566,566,566.0,0.0,566
2020,Other,1,566,566,566.0,,566
