cohort,n,auc,auc_lo,auc_hi,f1,delta_auc,delta_f1
Global balanced test,800,0.9725,0.963,0.9803,0.8982,0.0,0.0
South Asia hold-out,743,0.9877,0.9797,0.9947,0.7848,0.0152,-0.1134
