feature,mean_abs_shap
year_norm,0.14449226179698116
days_norm,0.09588442033524545
freq_norm,0.06843179095531317
drift_inten,0.05335946975741598
n_years_norm,0.018140480556080037
hydro_delta,0.014864321642550835
vol_delta,0.013907067832221625
var_hydro,0.007969045454067748
position_norm,0.007012953222767893
var_vol,0.006387637314633782
ref_vol,0.003946077495462591
ref_hydro,0.003303032721655879
charge_chg,0.001714823509387588
polar_chg,0.001474658418625463
bind_flag,0.0006295268031979212
crit_flag,0.0003951675402073987
