token,mean_attention,high_drift_attention
ref_AA,0.012017442695550773,0.012017442695550773
var_AA,0.058590694578448135,0.058590694578448135
pos_bin,0.013084620920104212,0.013084620920104212
era,0.3786634386471298,0.3786634386471298
crit_flag,0.04110146313779986,0.04110146313779986
bind_flag,0.026929504497532963,0.026929504497532963
freq_bin,0.34761323773063296,0.34761323773063296
charge_change,0.12199959717499162,0.12199959717499162
